nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Cerniébaud,Cerniébaud,39085,39,46.7353095,6.1251805,Auto-généré depuis GeoJSON
Charézier,Charézier,39109,39,46.6150071,5.7374651,Auto-généré depuis GeoJSON
Nanchez,Nanchez,39130,39,46.5117571,5.8528429,Auto-généré depuis GeoJSON
Écrille,Écrille,39207,39,46.4989523,5.6341496,Auto-généré depuis GeoJSON
Fraroz,Fraroz,39237,39,46.7322263,6.0941295,Auto-généré depuis GeoJSON
Gillois,Gillois,39254,39,46.7301469,6.0286119,Auto-généré depuis GeoJSON
Sainte-Agnès,Sainte-Agnès,39474,39,46.6157408,5.4732367,Auto-généré depuis GeoJSON
Saint-Germain-en-Montagne,Saint-Germain-en-Montagne,39481,39,46.780347,5.9321915,Auto-généré depuis GeoJSON
Valfin-sur-Valouse,Valfin-sur-Valouse,39542,39,46.3736468,5.5233712,Auto-généré depuis GeoJSON
Andelot-Morval,Andelot-Morval,39010,39,46.4232003,5.426948,Auto-généré depuis GeoJSON
Chazelles,Chazelles,39135,39,46.4088524,5.3254292,Auto-généré depuis GeoJSON
Gevry,Gevry,39252,39,47.0373048,5.4423583,Auto-généré depuis GeoJSON
Nans,Nans,39381,39,46.7954038,5.9711894,Auto-généré depuis GeoJSON
Parcey,Parcey,39405,39,47.0214112,5.4753808,Auto-généré depuis GeoJSON
Rousses,Rousses,39470,39,46.4925845,6.0671748,Auto-généré depuis GeoJSON
Souvans,Souvans,39520,39,46.9766723,5.5555792,Auto-généré depuis GeoJSON
Aresches,Aresches,39586,39,46.8942507,5.9183613,Auto-généré depuis GeoJSON
Archelange,Archelange,39014,39,47.1514056,5.5194176,Auto-généré depuis GeoJSON
Augea,Augea,39025,39,46.5640233,5.3893442,Auto-généré depuis GeoJSON
Charnod,Charnod,39111,39,46.3366789,5.4946829,Auto-généré depuis GeoJSON
Chassal,Chassal,39113,39,46.3607789,5.7799481,Auto-généré depuis GeoJSON
Francheville,Francheville,39236,39,46.8361167,5.5007939,Auto-généré depuis GeoJSON
Plainoiseau,Plainoiseau,39422,39,46.7273477,5.5563414,Auto-généré depuis GeoJSON
Rouffange,Rouffange,39469,39,47.2258017,5.7054844,Auto-généré depuis GeoJSON
Vaux-lès-Saint-Claude,Vaux-lès-Saint-Claude,39547,39,46.3516423,5.7329022,Auto-généré depuis GeoJSON
Chamblay,Chamblay,39093,39,46.9935434,5.7051135,Auto-généré depuis GeoJSON
Champrougier,Champrougier,39100,39,46.8801874,5.5107929,Auto-généré depuis GeoJSON
Chancia,Chancia,39102,39,46.3459881,5.6435201,Auto-généré depuis GeoJSON
Jeurre,Jeurre,39269,39,46.3740203,5.7074635,Auto-généré depuis GeoJSON
Latette,Latette,39282,39,46.7538853,6.0952492,Auto-généré depuis GeoJSON
Pimorin,Pimorin,39420,39,46.4945731,5.5000794,Auto-généré depuis GeoJSON
Saint-Cyr-Montmalin,Saint-Cyr-Montmalin,39479,39,46.9608873,5.720758,Auto-généré depuis GeoJSON
Séligney,Séligney,39507,39,46.9454312,5.5379525,Auto-généré depuis GeoJSON
Septmoncel,Septmoncel,39510,39,46.3712063,5.9258274,Auto-généré depuis GeoJSON
Sermange,Sermange,39513,39,47.1985224,5.6473473,Auto-généré depuis GeoJSON
Vieille-Loye,Vieille-Loye,39559,39,47.0544889,5.6277305,Auto-généré depuis GeoJSON
Germigney,Germigney,39249,39,47.0345808,5.6874817,Auto-généré depuis GeoJSON
Rahon,Rahon,39448,39,46.9940489,5.4663676,Auto-généré depuis GeoJSON
Vadans,Vadans,39539,39,46.9429825,5.7025337,Auto-généré depuis GeoJSON
Bief-des-Maisons,Bief-des-Maisons,39052,39,46.7055106,6.0471532,Auto-généré depuis GeoJSON
Cousance,Cousance,39173,39,46.5310625,5.3809281,Auto-généré depuis GeoJSON
Écleux,Écleux,39206,39,46.9948013,5.7368609,Auto-généré depuis GeoJSON
Saint-Amour,Saint-Amour,39475,39,46.4363793,5.3297681,Auto-généré depuis GeoJSON
Marigna-sur-Valouse,Marigna-sur-Valouse,39312,39,46.4496285,5.5288291,Auto-généré depuis GeoJSON
Marnoz,Marnoz,39315,39,46.9544771,5.836277,Auto-généré depuis GeoJSON
Nance,Nance,39379,39,46.7504245,5.4191334,Auto-généré depuis GeoJSON
Plumont,Plumont,39430,39,47.1147871,5.7132775,Auto-généré depuis GeoJSON
Revigny,Revigny,39458,39,46.6249339,5.612027,Auto-généré depuis GeoJSON
Bourg-de-Sirod,Bourg-de-Sirod,39070,39,46.7286608,5.9543571,Auto-généré depuis GeoJSON
Bréry,Bréry,39075,39,46.7828341,5.5796341,Auto-généré depuis GeoJSON
Chatelay,Chatelay,39117,39,47.0509822,5.70041,Auto-généré depuis GeoJSON
Cosges,Cosges,39167,39,46.7514556,5.3929589,Auto-généré depuis GeoJSON
Coyron,Coyron,39175,39,46.510792,5.6928642,Auto-généré depuis GeoJSON
Hauteroche,Hauteroche,39177,39,46.7010905,5.6974603,Auto-généré depuis GeoJSON
Aiglepierre,Aiglepierre,39006,39,46.9551512,5.810933,Auto-généré depuis GeoJSON
Balanod,Balanod,39035,39,46.4544595,5.3560819,Auto-généré depuis GeoJSON
Besain,Besain,39050,39,46.7863426,5.7954823,Auto-généré depuis GeoJSON
Étival,Étival,39216,39,46.4918581,5.7962984,Auto-généré depuis GeoJSON
Menétru-le-Vignoble,Menétru-le-Vignoble,39321,39,46.7741798,5.6323261,Auto-généré depuis GeoJSON
Montrond,Montrond,39364,39,46.7879051,5.8437245,Auto-généré depuis GeoJSON
Rainans,Rainans,39449,39,47.158471,5.4671089,Auto-généré depuis GeoJSON
Thoiria,Thoiria,39531,39,46.522244,5.7439644,Auto-généré depuis GeoJSON
Thoissia,Thoissia,39532,39,46.428949,5.397013,Auto-généré depuis GeoJSON
Chassagne,Chassagne,39112,39,46.8648652,5.4543679,Auto-généré depuis GeoJSON
Monnet-la-Ville,Monnet-la-Ville,39344,39,46.7267891,5.8246411,Auto-généré depuis GeoJSON
Poids-de-Fiole,Poids-de-Fiole,39431,39,46.5974751,5.6221997,Auto-généré depuis GeoJSON
Poligny,Poligny,39434,39,46.8295407,5.7270411,Auto-généré depuis GeoJSON
Reithouse,Reithouse,39455,39,46.5644436,5.5583509,Auto-généré depuis GeoJSON
Avignon-lès-Saint-Claude,Avignon-lès-Saint-Claude,39032,39,46.4013022,5.8393654,Auto-généré depuis GeoJSON
Châtelaine,Châtelaine,39116,39,46.8628529,5.8236613,Auto-généré depuis GeoJSON
Doucier,Doucier,39201,39,46.6467625,5.7807002,Auto-généré depuis GeoJSON
Essards-Taignevaux,Essards-Taignevaux,39211,39,46.9029669,5.4121178,Auto-généré depuis GeoJSON
Larderet,Larderet,39277,39,46.8189227,5.9477674,Auto-généré depuis GeoJSON
Arlay,Arlay,39017,39,46.7645768,5.5359984,Auto-généré depuis GeoJSON
Chateley,Chateley,39119,39,46.8806603,5.5472163,Auto-généré depuis GeoJSON
Chaux-en-Bresse,Chaux-en-Bresse,39132,39,46.8263962,5.4761976,Auto-généré depuis GeoJSON
Chevrotaine,Chevrotaine,39143,39,46.6529413,5.8560763,Auto-généré depuis GeoJSON
Monnières,Monnières,39345,39,47.1150224,5.458588,Auto-généré depuis GeoJSON
Rotalier,Rotalier,39467,39,46.5805777,5.4792873,Auto-généré depuis GeoJSON
Tourmont,Tourmont,39535,39,46.8607183,5.6601637,Auto-généré depuis GeoJSON
Bellecombe,Bellecombe,39046,39,46.3142639,5.9107391,Auto-généré depuis GeoJSON
Champagney,Champagney,39096,39,47.2610663,5.5028289,Auto-généré depuis GeoJSON
Chaumergy,Chaumergy,39124,39,46.8420206,5.4729705,Auto-généré depuis GeoJSON
Chaussenans,Chaussenans,39127,39,46.8231267,5.7471211,Auto-généré depuis GeoJSON
Conliège,Conliège,39164,39,46.6516391,5.6085582,Auto-généré depuis GeoJSON
Lajoux,Lajoux,39274,39,46.3894229,6.0057309,Auto-généré depuis GeoJSON
Mallerey,Mallerey,39309,39,46.6299573,5.4464694,Auto-généré depuis GeoJSON
Balme-d'Épy,Balme-d'Épy,39036,39,46.3801458,5.4189737,Auto-généré depuis GeoJSON
Château-des-Prés,Château-des-Prés,39115,39,46.5076754,5.9156327,Auto-généré depuis GeoJSON
Largillay-Marsonnay,Largillay-Marsonnay,39278,39,46.555604,5.6598903,Auto-généré depuis GeoJSON
Louverot,Louverot,39304,39,46.7335998,5.5809659,Auto-généré depuis GeoJSON
Mouchard,Mouchard,39370,39,46.9745736,5.7866629,Auto-généré depuis GeoJSON
Rothonay,Rothonay,39468,39,46.5171682,5.5258525,Auto-généré depuis GeoJSON
Thoirette,Thoirette,39530,39,46.2786301,5.5285383,Auto-généré depuis GeoJSON
Toulouse-le-Château,Toulouse-le-Château,39533,39,46.8195329,5.5812077,Auto-généré depuis GeoJSON
Viry,Viry,39579,39,46.2999925,5.731597,Auto-généré depuis GeoJSON
Cogna,Cogna,39156,39,46.5846242,5.7736432,Auto-généré depuis GeoJSON
Lavans-lès-Dole,Lavans-lès-Dole,39285,39,47.1595404,5.6379612,Auto-généré depuis GeoJSON
Rix,Rix,39461,39,46.7603259,6.0568504,Auto-généré depuis GeoJSON
Bois-d'Amont,Bois-d'Amont,39059,39,46.5381243,6.1310071,Auto-généré depuis GeoJSON
Foucherans,Foucherans,39233,39,47.0886373,5.4458785,Auto-généré depuis GeoJSON
Martigna,Martigna,39318,39,46.3903737,5.7020831,Auto-généré depuis GeoJSON
Villette-lès-Dole,Villette-lès-Dole,39573,39,47.0432976,5.4941583,Auto-généré depuis GeoJSON
Abergement-la-Ronce,Abergement-la-Ronce,39001,39,47.0642466,5.3779603,Auto-généré depuis GeoJSON
Chaînée-des-Coupis,Chaînée-des-Coupis,39090,39,46.9206805,5.4348768,Auto-généré depuis GeoJSON
Chavéria,Chavéria,39134,39,46.5010909,5.5588158,Auto-généré depuis GeoJSON
Chevigny,Chevigny,39141,39,47.1801655,5.4754288,Auto-généré depuis GeoJSON
Deux-Fays,Deux-Fays,39196,39,46.8847115,5.484823,Auto-généré depuis GeoJSON
Froideville,Froideville,39243,39,46.8107135,5.4836403,Auto-généré depuis GeoJSON
Lamoura,Lamoura,39275,39,46.4159079,5.9968437,Auto-généré depuis GeoJSON
Saint-Baraing,Saint-Baraing,39477,39,46.985077,5.4358788,Auto-généré depuis GeoJSON
Voiteur,Voiteur,39582,39,46.7463199,5.6033717,Auto-généré depuis GeoJSON
Bouchoux,Bouchoux,39068,39,46.3046691,5.8019086,Auto-généré depuis GeoJSON
Coisia,Coisia,39158,39,46.3019743,5.5814603,Auto-généré depuis GeoJSON
Moiron,Moiron,39334,39,46.6378977,5.558886,Auto-généré depuis GeoJSON
Montbarrey,Montbarrey,39350,39,47.0184968,5.6328048,Auto-généré depuis GeoJSON
Petit-Mercey,Petit-Mercey,39414,39,47.1955517,5.7441822,Auto-généré depuis GeoJSON
Vevy,Vevy,39558,39,46.6677488,5.6741704,Auto-généré depuis GeoJSON
Villey,Villey,39575,39,46.8475579,5.5108574,Auto-généré depuis GeoJSON
Cézia,Cézia,39089,39,46.3580453,5.5753857,Auto-généré depuis GeoJSON
Chilly-le-Vignoble,Chilly-le-Vignoble,39146,39,46.6592994,5.4938014,Auto-généré depuis GeoJSON
Lavans-sur-Valouse,Lavans-sur-Valouse,39287,39,46.3399449,5.574119,Auto-généré depuis GeoJSON
Lent,Lent,39292,39,46.7531211,5.9742904,Auto-généré depuis GeoJSON
Maisod,Maisod,39307,39,46.4762052,5.6907526,Auto-généré depuis GeoJSON
Moirans-en-Montagne,Moirans-en-Montagne,39333,39,46.4387563,5.7415717,Auto-généré depuis GeoJSON
Molamboz,Molamboz,39337,39,46.9522421,5.6793616,Auto-généré depuis GeoJSON
Pont-de-Poitte,Pont-de-Poitte,39435,39,46.574162,5.6870759,Auto-généré depuis GeoJSON
Pratz,Pratz,39440,39,46.3792302,5.7518729,Auto-généré depuis GeoJSON
Rans,Rans,39452,39,47.1383361,5.7171223,Auto-généré depuis GeoJSON
Biarne,Biarne,39051,39,47.1453627,5.4519342,Auto-généré depuis GeoJSON
Cize,Cize,39153,39,46.7212113,5.9188342,Auto-généré depuis GeoJSON
Dompierre-sur-Mont,Dompierre-sur-Mont,39200,39,46.5645574,5.6121989,Auto-généré depuis GeoJSON
Pont-d'Héry,Pont-d'Héry,39436,39,46.8822599,5.8998918,Auto-généré depuis GeoJSON
Relans,Relans,39456,39,46.7701518,5.4394013,Auto-généré depuis GeoJSON
Chissey-sur-Loue,Chissey-sur-Loue,39149,39,47.050917,5.7451931,Auto-généré depuis GeoJSON
Clucy,Clucy,39155,39,46.9456917,5.9187634,Auto-généré depuis GeoJSON
Charme,Charme,39110,39,46.8481051,5.5432034,Auto-généré depuis GeoJSON
Crissey,Crissey,39182,39,47.0519531,5.4771645,Auto-généré depuis GeoJSON
Gigny,Gigny,39253,39,46.4544052,5.469822,Auto-généré depuis GeoJSON
Molay,Molay,39338,39,47.0150978,5.4239396,Auto-généré depuis GeoJSON
Montmorot,Montmorot,39362,39,46.6852143,5.5185,Auto-généré depuis GeoJSON
Présilly,Présilly,39443,39,46.5575752,5.5813207,Auto-généré depuis GeoJSON
Pupillin,Pupillin,39446,39,46.8759714,5.7485387,Auto-généré depuis GeoJSON
Saint-Maur,Saint-Maur,39492,39,46.6082965,5.5952256,Auto-généré depuis GeoJSON
Sergenon,Sergenon,39512,39,46.9007926,5.4664971,Auto-généré depuis GeoJSON
Monnetay,Monnetay,39343,39,46.4578345,5.5123573,Auto-généré depuis GeoJSON
Planches-en-Montagne,Planches-en-Montagne,39424,39,46.6643187,5.9931283,Auto-généré depuis GeoJSON
Pretin,Pretin,39444,39,46.9318,5.8374704,Auto-généré depuis GeoJSON
Saugeot,Saugeot,39505,39,46.6056657,5.8228974,Auto-généré depuis GeoJSON
Châtelneuf,Châtelneuf,39120,39,46.6582945,5.9172294,Auto-généré depuis GeoJSON
Chailleuse,Chailleuse,39021,39,46.5855517,5.5262626,Auto-généré depuis GeoJSON
Graye-et-Charnay,Graye-et-Charnay,39261,39,46.4718534,5.4515236,Auto-généré depuis GeoJSON
Patornay,Patornay,39408,39,46.5891506,5.7083961,Auto-généré depuis GeoJSON
Desnes,Desnes,39194,39,46.7667533,5.4653066,Auto-généré depuis GeoJSON
Entre-deux-Monts,Entre-deux-Monts,39208,39,46.6399637,5.9648619,Auto-généré depuis GeoJSON
Onglières,Onglières,39393,39,46.7994571,6.0015504,Auto-généré depuis GeoJSON
Condamine,Condamine,39162,39,46.6470383,5.4389785,Auto-généré depuis GeoJSON
Cuttura,Cuttura,39186,39,46.420982,5.8225182,Auto-généré depuis GeoJSON
Étrepigney,Étrepigney,39218,39,47.1180117,5.6769242,Auto-généré depuis GeoJSON
Vers-sous-Sellières,Vers-sous-Sellières,39555,39,46.8281967,5.5272379,Auto-généré depuis GeoJSON
Vosbles,Vosbles,39583,39,46.331707,5.5247433,Auto-généré depuis GeoJSON
Cesancey,Cesancey,39088,39,46.6208543,5.4926214,Auto-généré depuis GeoJSON
Denezières,Denezières,39192,39,46.6257678,5.8016108,Auto-généré depuis GeoJSON
Bornay,Bornay,39066,39,46.6110364,5.5542626,Auto-généré depuis GeoJSON
Broissia,Broissia,39080,39,46.3581328,5.430898,Auto-généré depuis GeoJSON
Évans,Évans,39219,39,47.1801342,5.7654132,Auto-généré depuis GeoJSON
Neuvilley,Neuvilley,39386,39,46.8924037,5.6006715,Auto-généré depuis GeoJSON
Pillemoine,Pillemoine,39419,39,46.702445,5.9094113,Auto-généré depuis GeoJSON
Bans,Bans,39037,39,46.9855445,5.5808887,Auto-généré depuis GeoJSON
Cuisia,Cuisia,39185,39,46.5489925,5.4093544,Auto-généré depuis GeoJSON
Lect,Lect,39289,39,46.3897855,5.6655648,Auto-généré depuis GeoJSON
Peseux,Peseux,39412,39,46.9976018,5.3601858,Auto-généré depuis GeoJSON
Ranchot,Ranchot,39451,39,47.1588767,5.715305,Auto-généré depuis GeoJSON
Saffloz,Saffloz,39473,39,46.6697511,5.8626435,Auto-généré depuis GeoJSON
Serre-les-Moulières,Serre-les-Moulières,39514,39,47.2066865,5.6136057,Auto-généré depuis GeoJSON
Arinthod,Arinthod,39016,39,46.4026714,5.5876391,Auto-généré depuis GeoJSON
Condes,Condes,39163,39,46.3304907,5.6173249,Auto-généré depuis GeoJSON
Cressia,Cressia,39180,39,46.5276428,5.4827586,Auto-généré depuis GeoJSON
Domblans,Domblans,39199,39,46.7603017,5.5933583,Auto-généré depuis GeoJSON
Montmarlon,Montmarlon,39359,39,46.8733573,5.9640207,Auto-généré depuis GeoJSON
Orchamps,Orchamps,39396,39,47.1510594,5.6677205,Auto-généré depuis GeoJSON
Plasne,Plasne,39426,39,46.7911769,5.6858375,Auto-généré depuis GeoJSON
Saint-Pierre,Saint-Pierre,39494,39,46.5665748,5.9006012,Auto-généré depuis GeoJSON
Trenal,Trenal,39537,39,46.6368881,5.4691687,Auto-généré depuis GeoJSON
Annoire,Annoire,39011,39,46.9536203,5.2753153,Auto-généré depuis GeoJSON
Blye,Blye,39058,39,46.6289525,5.694725,Auto-généré depuis GeoJSON
Crozets,Crozets,39184,39,46.4655064,5.8064719,Auto-généré depuis GeoJSON
Macornay,Macornay,39306,39,46.6400922,5.5437295,Auto-généré depuis GeoJSON
Pannessières,Pannessières,39404,39,46.6971921,5.5957831,Auto-généré depuis GeoJSON
Petit-Noir,Petit-Noir,39415,39,46.9290269,5.3405951,Auto-généré depuis GeoJSON
Quintigny,Quintigny,39447,39,46.7364709,5.5244346,Auto-généré depuis GeoJSON
Saint-Lothain,Saint-Lothain,39489,39,46.8252321,5.6367847,Auto-généré depuis GeoJSON
