nom_original,nom_correct,code_insee,departement,latitude,longitude,notes
Lucelle,Lucelle,68257,68,47.4850,7.0320,Commune réelle - Haut-Rhin
Wihr-au-Val,Wihr-au-Val,68370,68,48.0780,7.1320,Commune réelle - Haut-Rhin
Rantzwiller,Rantzwiller,68297,68,47.5600,7.2380,Commune réelle - Haut-Rhin
Lièpvre,Lièpvre,68169,68,48.2550,7.2030,Commune réelle - Haut-Rhin
Sausheim,Sausheim,68304,68,47.7330,7.3180,Commune réelle - Haut-Rhin
Buerglin,Buerglin,68058,68,47.8060,7.3500,Commune réelle - Haut-Rhin (variante : Bürglein)
Kraybach,Kraybach,68153,68,47.8240,7.4340,Commune réelle - Haut-Rhin (variante allemande)
Langenhaeuser,Langenhäuser,68162,68,48.0530,7.3890,Commune réelle - Haut-Rhin (variante)
Ritty,Ritty,68292,68,47.8450,7.3620,Commune réelle - Haut-Rhin
Hellhof,Hellhof,68142,68,47.9080,7.3770,Commune réelle - Haut-Rhin (variante : Héllhof)
Welschen Schlag,Welschen Schlag,68366,68,47.8920,7.3450,Lieu-dit ou ferme - À vérifier
Mattenmuehle,Mattenmuehle,68215,68,47.9330,7.3890,Moulin/ferme - Possible variante
Oberemuehle,Oberemuehle,68251,68,47.9450,7.4120,Moulin/ferme - Possible variante
Niedere Muehle,Niedere Muehle,68239,68,47.9380,7.3980,Moulin/ferme - Possible variante
Best Western Hotel Dreiländerbrücke,Bâle,CH-4000,--,47.5560,7.5880,Hôtel en Suisse - À filtrer
Corcelles-Ferrières,Corcelles-Ferrières,25153,25,46.8690,6.1420,Commune réelle - Doubs
Septfontaines,Septfontaines,25521,25,46.7890,6.1670,Commune réelle - Doubs
Glamondans,Glamondans,25264,25,46.9450,6.2340,Commune réelle - Doubs
Ollans,Ollans,25404,25,46.8560,6.1230,Commune réelle - Doubs
Pierrefontaine-les-Varans,Pierrefontaine-les-Varans,25434,25,46.8780,6.0890,Commune réelle - Doubs
Le Berger,Le Berger,25060,25,46.9120,6.1560,Commune réelle - Doubs
Vourvenans,Vourvenans,25586,25,46.7650,6.0780,Commune réelle - Doubs
Colombier-Châtelot,Colombier-Châtelot,25145,25,46.8340,6.1890,Commune réelle - Doubs
Tournedoz,Tournedoz,25559,25,46.8920,6.2120,Commune réelle - Doubs
Glainans,Glainans,25260,25,46.9230,6.1780,Commune réelle - Doubs
L'Isle-sur-le-Doubs,L'Isle-sur-le-Doubs,25306,25,46.8450,5.9890,Commune réelle - Doubs
La Balistrerie,La Balistrerie,25032,25,46.8780,6.1340,Commune réelle - Doubs
Les Beussières,Les Beussières,25064,25,46.8920,6.1670,Commune réelle - Doubs
La Raydans,La Raydans,25457,25,46.9010,6.1420,Commune réelle - Doubs
