commune,latitude,longitude,method,geojson_status
Danjoutin,,,nominatim,missing
Andelnans,,,nominatim,missing
Sevenans,,,nominatim,missing
La Jonxion,,,nominatim,missing
Bourogne,,,nominatim,missing
Charmois,,,nominatim,missing
Froidefontaine,,,nominatim,missing
Brebotte,,,nominatim,missing
Bretagne,,,nominatim,missing
Chavannes-les-Grands,,,nominatim,missing
Chavanatte,,,nominatim,missing
Suarce,,,nominatim,missing
Florimont,,,nominatim,missing
Joncherey,,,nominatim,missing
Thiancourt,,,nominatim,missing
Fêche-l'Église,,,nominatim,missing
Lebetain,,,nominatim,missing
Delle,,,nominatim,missing
Morvillars,,,nominatim,missing
