commune_original,statut,commune_finale,raison
Belfort,corrected,Belfort,Orthographe corrigée
Offemont,corrected,Offemont,Orthographe corrigée
Vétrigne,unknown,Vétrigne,Commune non trouvée dans le mapping
Roppe,unknown,Roppe,Commune non trouvée dans le mapping
Denney,unknown,Denney,Commune non trouvée dans le mapping
Phaffans,unknown,Phaffans,Commune non trouvée dans le mapping
Lacollonge,unknown,Lacollonge,Commune non trouvée dans le mapping
Larivière,unknown,Larivière,Commune non trouvée dans le mapping
Angeot,unknown,Angeot,Commune non trouvée dans le mapping
Lachapelle-sous-Rougemont,unknown,Lachapelle-sous-Rougemont,Commune non trouvée dans le mapping
Thann-Guebwiller,unknown,Thann-Guebwiller,Commune non trouvée dans le mapping
Guewenheim,unknown,Guewenheim,Commune non trouvée dans le mapping
Burnhaupt-le-Haut,unknown,Burnhaupt-le-Haut,Commune non trouvée dans le mapping
Burnhaupt-le-Bas,unknown,Burnhaupt-le-Bas,Commune non trouvée dans le mapping
Soppe-le-Bas,unknown,Soppe-le-Bas,Commune non trouvée dans le mapping
Sonnenhof,unknown,Sonnenhof,Commune non trouvée dans le mapping
Diefmatten,unknown,Diefmatten,Commune non trouvée dans le mapping
Bretten,unknown,Bretten,Commune non trouvée dans le mapping
Sternenberg,unknown,Sternenberg,Commune non trouvée dans le mapping
Bellemagny,unknown,Bellemagny,Commune non trouvée dans le mapping
Saint-Cosme,unknown,Saint-Cosme,Commune non trouvée dans le mapping
Vauthiermont,unknown,Vauthiermont,Commune non trouvée dans le mapping
Menoncourt,corrected,Menoncourt,Commune fusionnée reclassifiée → Menoncourt
Eguenigue,unknown,Eguenigue,Commune non trouvée dans le mapping
